nr,id,idh,idl,ev1,varh,varl,xh,yh,pxh,pyh,xl,yl,pxl,pyl,dh,dl,b,start,trial,state,hvalue,lvalue,prhv_rsft,prstate
11,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.216,0.144,13,0,2,7,0.51,0.48,0.53742984534375,0.1767121302176
11,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.216,0.144,13,0,3,2,0,0,0.5,0.43522626656659
11,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.216,0.144,13,0,3,5,0,0,0.5,0.431779488639318
11,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.216,0.144,13,0,3,8,0.3,0,0.817574401620406,0.329192760925069
11,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.216,0.144,13,0,3,11,0.3,0.6,0.182425523806356,0.109995862753205
11,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.216,0.144,13,0,3,14,1,1,0.5,0.0284911118439627
12,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.216,0.144,14,0,1,0,0.216,0.144,0.589040434058665,1
12,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.216,0.144,14,0,2,1,0.09,0,0.610639115069735,0.647944477464532
12,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.216,0.144,14,0,2,4,0.18,0.18,0.5,0.353424260435199
12,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.216,0.144,14,0,2,7,0.51,0.48,0.53742984534375,0.1767121302176
12,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.216,0.144,14,0,3,2,0,0,0.5,0.43522626656659
12,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.216,0.144,14,0,3,5,0,0,0.5,0.431779488639318
12,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.216,0.144,14,0,3,8,0.3,0,0.817574401620406,0.329192760925069
12,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.216,0.144,14,0,3,11,0.3,0.6,0.182425523806356,0.109995862753205
12,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.216,0.144,14,0,3,14,1,1,0.5,0.0284911118439627
13,1,27,45,2.8,7.56,2.16,7,1,0.3,0.7,4,1,0.6,0.4,0.216,0.144,15,0,1,0,0.216,0.144,0.589040434058665,1
