betadraw,trial,state,prhv_rsft,prstate,hvalue,lvalue,numberOfdraws,sampleNR,count_xh,count_xl,xh,yh,xl,yl,pxh,pyh,pxl,pyl,b,count_yh,count_yl,pmax,nr,id,bxh,bxl,byh,byl,start
518,2,1,0.739718545631703,0.410799086545363,0.208901341558077,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.457057262887351,0.703872961222287,0.542942737112649,0.296127038777713,0
518,2,2,0.739718545631703,0.532561446630242,0.208901341558077,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.457057262887351,0.703872961222287,0.542942737112649,0.296127038777713,0
518,2,4,0.739718545631703,0.224054414427186,0.208901341558077,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.457057262887351,0.703872961222287,0.542942737112649,0.296127038777713,0
518,2,8,0.775699686936293,0.345816774512065,0.705213184216625,0.457057262887351,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.457057262887351,0.703872961222287,0.542942737112649,0.296127038777713,0
518,3,2,0.5,0.164987105845329,0,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.457057262887351,0.703872961222287,0.542942737112649,0.296127038777713,0
518,3,3,0.5,0.427779781611672,0,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.457057262887351,0.703872961222287,0.542942737112649,0.296127038777713,0
518,3,4,0.5,0.277287641082819,0,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.457057262887351,0.703872961222287,0.542942737112649,0.296127038777713,0
518,3,5,0.5,0.179971624080664,0,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.457057262887351,0.703872961222287,0.542942737112649,0.296127038777713,0
518,3,6,0.5,0.233315875356039,0,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.457057262887351,0.703872961222287,0.542942737112649,0.296127038777713,0
518,3,8,0.5,0.0490792679044214,0,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.457057262887351,0.703872961222287,0.542942737112649,0.296127038777713,0
518,3,9,0.907651062795986,0.284532966536781,0.457057262887351,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.457057262887351,0.703872961222287,0.542942737112649,0.296127038777713,0
518,3,10,0.907651062795986,0.368869584270823,0.457057262887351,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.457057262887351,0.703872961222287,0.542942737112649,0.296127038777713,0
518,3,12,0.907651062795986,0.155187460952615,0.457057262887351,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.457057262887351,0.703872961222287,0.542942737112649,0.296127038777713,0
518,3,16,0.5,0.122605594190386,1,1,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.457057262887351,0.703872961222287,0.542942737112649,0.296127038777713,0
519,1,0,0.735319245750635,1,0.948633432620456,0.744277361807218,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.862715110454905,0.924796059550708,0.137284889545095,0.0752039404492915,0
519,2,1,0.976371425491358,0.100948221433259,0.744277361807218,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.862715110454905,0.924796059550708,0.137284889545095,0.0752039404492915,0
519,2,2,0.976371425491358,0.680020340981986,0.744277361807218,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.862715110454905,0.924796059550708,0.137284889545095,0.0752039404492915,0
519,2,4,0.976371425491358,0.0552989047686486,0.744277361807218,0,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.862715110454905,0.924796059550708,0.137284889545095,0.0752039404492915,0
519,2,8,0.643867187291789,0.634371024317376,0.981152859102591,0.862715110454905,10,3,6,8,8,1,2,4,0.4,0.6,0.9,0.1,17,4,2,0.4375,6,17_10_3,0.862715110454905,0.924796059550708,0.137284889545095,0.0752039404492915,0
